,Value,Date,State
263,35.4,2021/03/15,IL
264,32.8,2021/03/15,IN
265,37.7,2021/03/15,KS
266,39.7,2021/03/15,KY
267,41.0,2021/03/15,LA
268,34.2,2021/03/15,MA
269,36.8,2021/03/15,MD
270,41.5,2021/03/15,ME
271,36.6,2021/03/15,MI
272,32.1,2021/03/15,MN
273,37.6,2021/03/15,MO
274,37.0,2021/03/15,MS
275,30.8,2021/03/15,MT
276,35.8,2021/03/15,NC
277,26.8,2021/03/15,ND
278,31.4,2021/03/15,NE
279,35.7,2021/03/15,NH
280,36.0,2021/03/15,NJ
281,39.8,2021/03/15,NM
282,33.7,2021/03/15,NV
283,36.6,2021/03/15,NY
284,41.2,2021/03/15,OH
285,37.5,2021/03/15,OK
286,42.5,2021/03/15,OR
287,38.9,2021/03/15,PA
288,39.1,2021/03/15,RI
289,30.5,2021/03/15,SC
290,25.9,2021/03/15,SD
291,34.5,2021/03/15,TN
292,35.7,2021/03/15,TX
293,32.6,2021/03/15,UT
294,34.3,2021/03/15,VA
295,35.5,2021/03/15,VT
296,37.3,2021/03/15,WA
297,31.7,2021/03/15,WI
298,43.5,2021/03/15,WV
299,36.1,2021/03/15,WY
300,37.8,2021/03/29,AK
301,34.5,2021/03/29,AL
302,37.5,2021/03/29,AR
303,35.1,2021/03/29,AZ
304,39.3,2021/03/29,CA
305,34.8,2021/03/29,CO
306,31.8,2021/03/29,CT
307,30.6,2021/03/29,DE
308,34.7,2021/03/29,FL
309,37.9,2021/03/29,GA
310,28.4,2021/03/29,HI
311,30.1,2021/03/29,IA
312,31.1,2021/03/29,ID
313,36.4,2021/03/29,IL
314,32.0,2021/03/29,IN
315,32.1,2021/03/29,KS
316,33.5,2021/03/29,KY
317,37.1,2021/03/29,LA
318,30.3,2021/03/29,MA
319,31.1,2021/03/29,MD
320,34.8,2021/03/29,ME
321,35.4,2021/03/29,MI
322,30.4,2021/03/29,MN
323,34.7,2021/03/29,MO
324,42.6,2021/03/29,MS
325,32.7,2021/03/29,MT
326,32.5,2021/03/29,NC
327,26.7,2021/03/29,ND
328,32.2,2021/03/29,NE
329,32.4,2021/03/29,NH
330,35.0,2021/03/29,NJ
331,38.3,2021/03/29,NM
332,41.7,2021/03/29,NV
333,36.1,2021/03/29,NY
334,33.4,2021/03/29,OH
335,39.3,2021/03/29,OK
336,35.5,2021/03/29,OR
337,35.3,2021/03/29,PA
338,36.9,2021/03/29,RI
339,33.1,2021/03/29,SC
340,24.9,2021/03/29,SD
341,36.2,2021/03/29,TN
342,35.0,2021/03/29,TX
343,31.5,2021/03/29,UT
344,31.4,2021/03/29,VA
345,32.1,2021/03/29,VT
346,35.6,2021/03/29,WA
347,32.3,2021/03/29,WI
348,41.0,2021/03/29,WV
349,35.6,2021/03/29,WY
350,31.8,2021/04/26,AK
351,35.5,2021/04/26,AL
352,34.8,2021/04/26,AR
353,34.4,2021/04/26,AZ
354,37.3,2021/04/26,CA
355,31.5,2021/04/26,CO
356,31.5,2021/04/26,CT
357,24.7,2021/04/26,DE
358,35.0,2021/04/26,FL
359,33.6,2021/04/26,GA
360,28.5,2021/04/26,HI
361,29.4,2021/04/26,IA
362,30.8,2021/04/26,ID
363,29.7,2021/04/26,IL
364,33.2,2021/04/26,IN
365,28.7,2021/04/26,KS
366,34.8,2021/04/26,KY
367,34.4,2021/04/26,LA
368,31.6,2021/04/26,MA
369,32.5,2021/04/26,MD
370,25.7,2021/04/26,ME
371,33.5,2021/04/26,MI
372,24.7,2021/04/26,MN
373,32.7,2021/04/26,MO
374,30.9,2021/04/26,MS
375,36.1,2021/04/26,MT
376,31.2,2021/04/26,NC
377,31.4,2021/04/26,ND
378,31.2,2021/04/26,NE
379,27.3,2021/04/26,NH
380,32.7,2021/04/26,NJ
381,30.8,2021/04/26,NM
382,32.6,2021/04/26,NV
383,31.2,2021/04/26,NY
384,27.1,2021/04/26,OH
385,29.1,2021/04/26,OK
386,33.3,2021/04/26,OR
387,30.2,2021/04/26,PA
388,26.5,2021/04/26,RI
389,29.8,2021/04/26,SC
390,26.6,2021/04/26,SD
391,31.9,2021/04/26,TN
392,34.6,2021/04/26,TX
393,25.1,2021/04/26,UT
394,25.8,2021/04/26,VA
395,31.4,2021/04/26,VT
396,29.7,2021/04/26,WA
397,26.0,2021/04/26,WI
398,42.1,2021/04/26,WV
399,22.0,2021/04/26,WY
400,33.8,2021/05/10,AK
401,33.3,2021/05/10,AL
402,35.5,2021/05/10,AR
403,29.9,2021/05/10,AZ
404,33.0,2021/05/10,CA
405,30.8,2021/05/10,CO
